ticker,start_date,end_date,days,return_pct,start_price,end_price,avg_volume,start_volume
SMCI,2024-08-02,2024-08-07,3,-23.03,624.1,480.38,2873701,1976414
SMCI,2024-08-05,2024-08-07,2,-23.02,624.0,480.38,3172797,1922333
SMCI,2024-08-23,2024-08-28,3,-32.87,614.2,412.3,3515555,1283355
SMCI,2024-08-26,2024-08-28,2,-26.96,564.47,412.3,4259622,2096025
SMCI,2024-08-27,2024-08-28,1,-23.55,539.3,412.3,5341421,2783795
SMCI,2024-09-26,2024-10-01,3,-89.91,400.5,40.41,4521728,5735694
SMCI,2024-09-27,2024-10-01,2,-90.38,419.98,40.41,4117073,2474505
SMCI,2024-09-30,2024-10-01,1,-90.3,416.41,40.41,4938357,1604004
SMCI,2024-10-25,2024-10-30,3,-31.76,47.2,32.21,18250205,7026274
SMCI,2024-10-28,2024-10-30,2,-32.54,47.75,32.21,21991515,6432262
SMCI,2024-10-29,2024-10-30,1,-34.43,49.12,32.21,29771142,7288095
SOXL,2024-08-01,2024-08-06,3,-21.2,34.3,27.03,17922232,15120742
SOXL,2024-08-30,2024-09-03,1,-23.01,38.72,29.81,9062206,6225060
SCHD,2024-10-08,2024-10-11,3,-66.14,84.3,28.54,325094,238904
SCHD,2024-10-09,2024-10-11,2,-66.41,84.97,28.54,353825,275124
SCHD,2024-10-10,2024-10-11,1,-66.32,84.74,28.54,393175,207425
